trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
12481,2297.0,2590.7546657533144,883.4778457626767,4893.283255940598,39,2024-08-26,2,4009.805410177921
12483,2993.0,2838.5661552521665,953.7878009873629,5380.483198842465,35,2024-08-26,1,4426.695397855102
12487,2824.0,3864.414466481737,2115.30465025324,6223.361364891231,36,2024-08-26,1,4108.056714637991
12490,2602.0,2444.2800129790653,965.940688553176,4438.050748124073,37,2024-08-26,2,3472.1100595708967
12494,4425.0,3191.004146070073,1286.5702727973267,5759.429717124011,35,2024-08-26,1,4472.859444326685
12495,2768.0,2619.2203737681375,993.3657546309869,4811.93844983964,35,2024-08-26,1,3818.5726952086534
12497,3158.0,2987.218778797958,1060.1757844361334,5586.1362695552825,36,2024-08-26,1,4525.960485119149
12499,2367.0,2527.2721827928094,1092.194291181899,4462.698140604342,35,2024-08-26,2,3370.5038494224436
12501,1982.0,2558.7092452333927,976.9757157089933,4691.923162943435,34,2024-08-26,1,3714.947447234442
12503,3253.0,2750.1996093876155,884.9206758344973,5265.818648369034,35,2024-08-26,1,4380.897972534537
12507,2533.0,2706.911942794215,1028.3916506861606,4970.657878154305,35,2024-08-26,1,3942.2662274681443
12509,3392.0,3019.8890011050685,818.0708476268986,5989.383572468521,36,2024-08-26,1,5171.312724841623
12511,3032.0,3065.9412878358435,1147.8463449785952,5652.790938056407,35,2024-08-26,1,4504.944593077812
12513,3216.0,2821.0025335768023,759.2808212193422,5601.55524308935,36,2024-08-26,1,4842.274421870008
12519,2966.0,3373.4074702307726,1148.2685061309464,6374.353785432113,37,2024-08-26,1,5226.085279301166
12528,2795.0,2668.099601814002,1286.477906949662,4531.431555952289,38,2024-08-26,2,3244.9536490026276
12530,2487.0,2559.0340295911615,1318.6237480428365,4231.920408288049,35,2024-08-26,2,2913.2966602452125
12531,3060.0,3708.414835522462,1598.2549885176559,6554.293910727404,35,2024-08-26,1,4956.038922209748
12533,3085.0,3026.5040800809843,1638.4141773565193,4898.559419525523,40,2024-08-26,2,3260.1452421690033
12535,2794.0,2718.822403787378,1427.7043930938532,4460.096049700215,37,2024-08-26,2,3032.3916566063617
12537,3085.0,3022.5399097427085,1605.1820950457914,4934.067585074772,40,2024-08-26,2,3328.8854900289807
12541,3033.0,3034.152052246814,1590.7394210119226,4980.818704040293,38,2024-08-26,2,3390.07928302837
12543,3392.0,2982.369283950773,1592.933968765105,4856.2391215606,37,2024-08-26,2,3263.3051527954954
12545,3214.0,3161.974016158175,991.5699410416443,6089.101812131066,35,2024-08-26,1,5097.531871089422
12547,3409.0,3147.539768941785,1688.2063985162777,5115.678016163772,39,2024-08-26,2,3427.471617647494
12553,3043.0,2820.619631409497,1456.618755671393,4660.187167648112,37,2024-08-26,2,3203.5684119767193
12557,3139.0,3678.2093651656187,1702.1093014202722,6343.287951466302,34,2024-08-26,1,4641.178650046029
12559,3036.0,2952.193435986632,1585.4751301571914,4795.425849768171,38,2024-08-26,2,3209.95071961098
12562,2796.0,3191.379871010683,1226.3223191624286,5841.5659108579575,35,2024-08-26,1,4615.243591695529
12563,3603.0,3016.7959599390833,1617.4492185563297,4904.032898842096,38,2024-08-26,2,3286.5836802857666
12565,3649.0,2990.8332648293176,1585.0783205704652,4886.712662975711,38,2024-08-26,2,3301.634342405246
12569,4083.0,3164.73564041006,1199.5187749945637,5815.136539405589,36,2024-08-26,1,4615.617764411026
12573,3738.0,3361.397307044294,1406.047030922167,5998.491574291761,36,2024-08-26,1,4592.444543369594
12575,3286.0,3611.2177078422933,1726.4260586389516,6153.1526817270405,34,2024-08-26,1,4426.726623088089
12579,3771.0,3237.6496587037236,1795.1446116948584,5183.092291870604,40,2024-08-26,2,3387.9476801757455
12587,3394.0,3262.152461572317,1833.2649744266178,5189.229695205629,40,2024-08-26,2,3355.964720779011
12589,3274.0,3106.3598120973734,1128.8931478713848,5773.281471906229,36,2024-08-26,1,4644.388324034844
12593,3613.0,3211.1548997965956,1824.9032764679591,5080.731033282214,40,2024-08-26,2,3255.8277568142553
12595,3460.0,3068.245103992754,1029.0140725613028,5818.465628801244,36,2024-08-26,1,4789.451556239941
12597,3155.0,3135.9433601879045,1071.954357374541,5919.553863864731,36,2024-08-26,1,4847.599506490191
12599,3254.0,3917.254894503937,1936.8563541412325,6588.130645734073,35,2024-08-26,1,4651.274291592841
12601,3528.0,3357.5373787642898,1962.4622345823773,5239.01340381576,40,2024-08-26,2,3276.551169233383
12603,3150.0,3429.3663180061094,2110.7048894716336,5207.7865509912235,39,2024-08-26,2,3097.08166151959
12608,3798.0,3386.3516853386395,2054.2342956460216,5182.919376845004,40,2024-08-26,2,3128.6850811989825
12609,3579.0,4472.43440021932,2461.4409767295942,7184.57211452923,35,2024-08-26,1,4723.131137799635
12611,3252.0,3994.7578946474127,1963.9090026575236,6733.673799440478,35,2024-08-26,1,4769.764796782954
12615,3645.0,4334.6088081792595,2265.537530549362,7125.073550683227,35,2024-08-26,1,4859.536020133864
12619,4031.0,4405.3355451788375,2319.244753454949,7218.753752131954,36,2024-08-26,1,4899.5089986770045
12621,3489.0,3334.601275385781,2027.0594439458057,5098.025000527726,40,2024-08-26,2,3070.9655565819203
12623,5480.0,3404.6785455297477,1365.4255546198235,6154.9286861137325,37,2024-08-26,1,4789.503131493909
12625,3647.0,3396.5630688548495,2098.6132377530244,5147.050488204394,40,2024-08-26,2,3048.43725045137
12627,3314.0,3239.2115620390928,1939.6167150657864,4991.917541396626,40,2024-08-26,2,3052.3008263308393
12629,5142.0,3824.4200895627228,1813.5334194682925,6536.413830299109,36,2024-08-26,1,4722.880410830816
12633,3104.0,3155.37383471634,1861.6459402306361,4900.1673152442745,40,2024-08-26,2,3038.521375013638
12635,3143.0,3073.162584120773,1848.375110950278,4724.979173473735,35,2024-08-26,1,2876.6040625234564
