Period,time_period,route,bin_label,n,Global_PICP,Global_MPIW,Mondrian_PICP,Mondrian_MPIW,PICP_improvement,MPIW_change
test_near,early_morning,10,early_morning_10,82,0.8292682926829268,1528.3115234375,0.5853658536585366,692.5029296875,-0.24390243902439024,-835.80859375
test_near,early_morning,12,early_morning_12,56,0.6607142857142857,1528.3115234375,0.625,1361.322998046875,-0.0357142857142857,-166.988525390625
test_near,early_morning,46,early_morning_46,96,0.7395833333333334,1528.3115234375,0.5833333333333334,967.018310546875,-0.15625,-561.293212890625
test_near,morning_peak,10,morning_peak_10,237,0.7932489451476793,1528.3115234375,0.7468354430379747,1523.5087890625,-0.04641350210970463,-4.802734375
test_near,morning_peak,12,morning_peak_12,177,0.6101694915254238,1528.3115234375,0.6610169491525424,1930.0244140625,0.05084745762711862,401.712890625
test_near,morning_peak,46,morning_peak_46,239,0.7112970711297071,1528.3115234375,0.5564853556485355,1092.48876953125,-0.15481171548117156,-435.82275390625
test_near,midday,10,midday_10,354,0.6271186440677966,1528.3115234375,0.6214689265536724,1467.5234375,-0.005649717514124242,-60.7880859375
test_near,midday,12,midday_12,262,0.549618320610687,1528.3115234375,0.6183206106870229,2519.46728515625,0.06870229007633588,991.15576171875
test_near,midday,46,midday_46,424,0.5094339622641509,1528.3115234375,0.7028301886792453,2910.36083984375,0.19339622641509435,1382.04931640625
test_near,evening_peak,10,evening_peak_10,133,0.518796992481203,1528.3115234375,0.3609022556390977,1109.640625,-0.1578947368421053,-418.6708984375
test_near,evening_peak,12,evening_peak_12,108,0.7037037037037037,1528.3115234375,0.5462962962962963,901.607421875,-0.15740740740740744,-626.7041015625
test_near,evening_peak,46,evening_peak_46,168,0.5238095238095238,1528.3115234375,0.5535714285714286,1578.76171875,0.029761904761904767,50.4501953125
test_near,evening,10,evening_10,116,0.5775862068965517,1528.3115234375,0.4482758620689655,1081.19091796875,-0.1293103448275862,-447.12060546875
test_near,evening,12,evening_12,77,0.44155844155844154,1528.3115234375,0.2987012987012987,1018.049560546875,-0.14285714285714285,-510.261962890625
test_near,evening,46,evening_46,158,0.6772151898734177,1528.3115234375,0.5316455696202531,1118.86083984375,-0.14556962025316456,-409.45068359375
test_mid,early_morning,10,early_morning_10,46,0.8043478260869565,1528.3115234375,0.5652173913043478,692.5029296875,-0.23913043478260876,-835.80859375
test_mid,early_morning,12,early_morning_12,31,0.5161290322580645,1528.3115234375,0.5161290322580645,1361.322998046875,0.0,-166.988525390625
test_mid,early_morning,46,early_morning_46,63,0.7777777777777778,1528.3115234375,0.5873015873015873,967.018310546875,-0.19047619047619047,-561.293212890625
test_mid,morning_peak,10,morning_peak_10,154,0.7857142857142857,1528.3115234375,0.7402597402597403,1523.5087890625,-0.045454545454545414,-4.802734375
test_mid,morning_peak,12,morning_peak_12,113,0.6283185840707964,1528.3115234375,0.7256637168141593,1930.0244140625,0.09734513274336287,401.712890625
test_mid,morning_peak,46,morning_peak_46,163,0.5153374233128835,1528.3115234375,0.3619631901840491,1092.48876953125,-0.15337423312883436,-435.82275390625
test_mid,midday,10,midday_10,242,0.5950413223140496,1528.3115234375,0.5785123966942148,1467.5234375,-0.016528925619834767,-60.7880859375
test_mid,midday,12,midday_12,177,0.5819209039548022,1528.3115234375,0.6384180790960452,2519.46728515625,0.05649717514124297,991.15576171875
test_mid,midday,46,midday_46,272,0.5294117647058824,1528.3115234375,0.6727941176470589,2910.36083984375,0.14338235294117652,1382.04931640625
test_mid,evening_peak,10,evening_peak_10,100,0.67,1528.3115234375,0.52,1109.640625,-0.15000000000000002,-418.6708984375
test_mid,evening_peak,12,evening_peak_12,81,0.48148148148148145,1528.3115234375,0.2345679012345679,901.607421875,-0.24691358024691357,-626.7041015625
test_mid,evening_peak,46,evening_peak_46,128,0.5078125,1528.3115234375,0.53125,1578.76171875,0.0234375,50.4501953125
test_mid,evening,10,evening_10,96,0.6458333333333334,1528.3115234375,0.4895833333333333,1081.19091796875,-0.15625000000000006,-447.12060546875
test_mid,evening,12,evening_12,52,0.5192307692307693,1528.3115234375,0.34615384615384615,1018.049560546875,-0.17307692307692313,-510.261962890625
test_mid,evening,46,evening_46,114,0.6578947368421053,1528.3115234375,0.4824561403508772,1118.86083984375,-0.17543859649122812,-409.45068359375
test_far,early_morning,10,early_morning_10,103,0.7184466019417476,1528.3115234375,0.3786407766990291,692.5029296875,-0.33980582524271846,-835.80859375
test_far,early_morning,12,early_morning_12,105,0.780952380952381,1528.3115234375,0.7238095238095238,1361.322998046875,-0.05714285714285716,-166.988525390625
test_far,early_morning,46,early_morning_46,167,0.7305389221556886,1528.3115234375,0.5089820359281437,967.018310546875,-0.22155688622754488,-561.293212890625
