trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
12608,3798.0,3491.0415,-6222.978090533739,13205.061272153383,40,2024-08-26,2,19428.039362687123
12609,3579.0,4630.4766,-3610.036221054388,12870.98934414704,35,2024-08-26,1,16481.025565201428
12611,3252.0,4154.3604,-4086.1523032458554,12394.873261955572,35,2024-08-26,1,16481.025565201428
12615,3645.0,4497.2153,-3677.960949529715,12672.391461004325,35,2024-08-26,1,16350.35241053404
12619,4031.0,4569.2793,-3938.226719181962,13076.785801213211,36,2024-08-26,1,17015.012520395172
12621,3489.0,3437.3599,-6276.659871468073,13151.37949121905,40,2024-08-26,2,19428.039362687123
12623,5480.0,3564.9417,-5218.715955330515,12348.599156929637,37,2024-08-26,1,17567.315112260152
12625,3647.0,3498.5679,-6215.451904663569,13212.587458023554,40,2024-08-26,2,19428.039362687123
12627,3314.0,3341.3455,-6372.67413116408,13055.365231523043,40,2024-08-26,2,19428.039362687123
12629,5142.0,3982.4539,-4525.052398961015,12489.960121434158,36,2024-08-26,1,17015.012520395172
12633,3104.0,3257.0469,-6456.972936996943,12971.06642569018,40,2024-08-26,2,19428.039362687123
12635,3143.0,3169.4175,-4785.541871902124,11124.376928207055,35,2024-08-26,1,15909.918800109179
12638,5056.0,4900.706,-3420.639186511616,13222.051478992085,36,2024-08-26,1,16642.690665503702
12639,3468.0,3552.2737,-6161.745913872248,13266.293448814875,40,2024-08-26,2,19428.039362687123
12641,3815.0,3422.6904,-5664.252896638268,12509.633706422203,39,2024-08-26,2,18173.88660306047
12646,3748.0,3393.7566,-6320.263136276728,13107.776226410395,40,2024-08-26,2,19428.039362687123
12647,3191.0,5278.6465,-3228.859541218705,13786.152979176468,36,2024-08-26,1,17015.012520395172
12649,3976.0,3424.3271,-5662.6161406949695,12511.2704623655,39,2024-08-26,2,18173.88660306047
12655,3677.0,3548.0552,-6165.964423069483,13262.07493961764,40,2024-08-26,2,19428.039362687123
12662,5271.0,5186.5933,-3320.912874501176,13694.099645893997,36,2024-08-26,1,17015.012520395172
12665,3552.0,3577.3115,-6136.708255180842,13291.331107506281,40,2024-08-26,2,19428.039362687123
12667,5241.0,5054.1772,-2661.5287172222925,12769.883259000857,34,2024-08-26,1,15431.41197622315
12671,6120.0,5449.9893,-2380.2890026074124,13280.267697523184,34,2024-08-26,1,15660.556700130597
12673,5217.0,4988.2017,-2974.9683334267634,12951.372088614751,35,2024-08-26,1,15926.340422041514
12677,3373.0,3401.2666,-6312.75298608256,13115.286376604563,40,2024-08-26,2,19428.039362687123
12679,5974.0,4973.914,-2741.792068662722,12689.619907560427,34,2024-08-26,1,15431.41197622315
12681,3592.0,3479.6055,-6234.414065489298,13193.625297197825,40,2024-08-26,2,19428.039362687123
12683,3357.0,3586.0728,-6127.946842321879,13300.092520365244,40,2024-08-26,2,19428.039362687123
12685,5670.0,5454.7637,-3052.742592137284,13962.269928257889,36,2024-08-26,1,17015.012520395172
12689,5193.0,5084.374,-3063.3677119164154,13232.115896120516,35,2024-08-26,1,16295.483608036931
12691,4996.0,4948.9985,-3014.1718894875544,12912.16853255396,35,2024-08-26,1,15926.340422041514
12693,5686.0,4681.131,-3034.575054349978,12396.836921873171,34,2024-08-26,1,15431.41197622315
12696,3791.0,3612.5918,-6101.428000339991,13326.611362347132,40,2024-08-26,2,19428.039362687123
12697,6487.0,5115.391,-3125.1218428881893,13355.903722313238,35,2024-08-26,1,16481.025565201428
12699,2696.0,3158.8088,-5904.319662886233,12221.937208967776,38,2024-08-26,2,18126.25687185401
12701,6069.0,5247.7886,-2992.724221733404,13488.301343468023,35,2024-08-26,1,16481.025565201428
12707,5473.0,4886.8647,-3260.8769625572845,13034.606645479647,35,2024-08-26,1,16295.483608036931
12709,2792.0,3180.8032,-6084.890594249644,12446.497260814585,39,2024-08-26,2,18531.38785506423
12711,4426.0,4324.0034,-4077.8420271280925,12725.848863065592,36,2024-08-26,1,16803.690890193684
12717,3587.0,3409.9724,-6087.869156357025,12907.814160343383,39,2024-08-26,2,18995.683316700408
