segment,direction,mean_width,std_width,median_width,mean_fraction,mean_actual,count,rank_overall
1,1,1511.676357366739,855.5723628647808,1501.0183743713355,0.27813705768168107,874.8377922898673,4747,1
2,1,83.82599411449371,23.320258713211736,80.79889498050068,0.016969428298559443,115.91080213903743,4675,79
3,1,73.22034441195002,19.897860417185786,70.14480715806694,0.014868103090409281,41.67879991175822,4533,109
4,1,74.1075823758411,19.90641565981891,72.03698276207538,0.015000031569991799,37.87933845795481,4293,108
5,1,89.47968319736982,18.10943198454217,87.22213113478412,0.017832848367101455,84.21585233441911,4605,72
6,1,95.0625289161317,18.567693385454877,92.66905853472775,0.018957218099696298,107.39219051705642,4661,61
7,1,97.44498292378724,19.232889106669038,94.76219755046114,0.019511306755961112,83.71256345177665,4728,58
8,1,97.7228539934841,19.49164892623767,95.13794605423314,0.019602892857233684,114.8065463701217,4766,57
9,1,93.3747123985128,18.87062898463613,91.28094619697629,0.01874298225641382,80.30636576538215,4697,64
10,1,88.3435606962751,19.00790057180005,85.44717802501248,0.017755757684867812,62.43478260869565,4646,74
11,1,85.36606538374663,20.51663643120988,81.16159098758003,0.01715891108481828,58.64322033898305,4720,76
12,1,89.24823966267284,23.194128239569743,85.2676279738325,0.01797647280633962,84.42697811447812,4752,73
13,1,91.79605066097584,23.409874043667042,86.76385951325692,0.018407082744636673,48.53393860786857,4626,68
14,1,121.5887012994434,43.64694057915057,111.07125675468355,0.0243415402438866,155.67190866006032,4642,9
15,1,113.05554310431707,28.986988126284423,107.09837114983476,0.022835874057638466,70.99864620938628,4432,14
16,1,119.98268343812819,27.979419673455407,114.41207263452026,0.024045200544358748,74.92575354609929,4512,10
17,1,132.13926369358714,30.9449703045099,126.88098708180053,0.026413091241839333,114.74305239179955,4390,4
18,1,150.22160170675036,44.26080439854626,141.04748951540736,0.030035356519258587,161.85020920502092,4780,3
19,1,129.14380517642817,27.047416608833085,125.2483169245312,0.02577654854054368,78.38672719412018,4626,5
20,1,119.7695648341821,24.11942081990946,116.8259059091121,0.02392935154073319,104.08205015398153,4546,11
