Method,PICP,MPIW (s),Cal. Error,Winkler
Direct Route CP,0.6039241052177663,1501.3020561273954,0.29607589478223373,9619.685916975937
Aggregated Sum,0.9827511858559724,4132.084873618946,0.08275118585597241,4254.45371580246
Bonferroni,1.0,18122.294917559633,0.09999999999999998,18122.294917559633
