Route,Direction,N Trips,Aggregated Sum PICP,Aggregated Sum MPIW,Bonferroni PICP,Bonferroni MPIW
10,1,1542,0.9656290531776913,4538.006731801688,0.9987029831387808,10648.030115075058
10,2,1430,0.9979020979020979,3506.129608764371,1.0,8362.076094650125
12,1,1416,0.9936440677966102,5341.630803296009,1.0,12671.891500000258
12,2,1046,1.0,3686.5066947656032,1.0,8887.689035555397
46,1,1856,0.9967672413793104,5470.671728771646,1.0,13054.867304713232
46,2,1986,0.998992950654582,4171.864542889793,1.0,10030.362396928964
ALL,-,9276,0.9921302285467875,4513.80947088643,0.9997843898231996,10755.399502569577
