Period,time_period,route,n,Online_Global_PICP,Online_Mondrian_PICP,Online_Global_MPIW,Online_Mondrian_MPIW
test_near,early_morning,10,82,0.8414634146341463,0.6097560975609756,1738.5048411299542,883.2277028153583
test_near,early_morning,12,56,0.6428571428571429,0.625,1737.1025216238838,1933.449720110212
test_near,early_morning,46,96,0.8541666666666666,0.5833333333333334,1737.777328491211,1022.4241383870443
test_near,morning_peak,10,237,0.8607594936708861,0.8607594936708861,1743.3562372263978,1751.6243881032437
test_near,morning_peak,12,177,0.655367231638418,0.7231638418079096,1748.3026405808616,2379.365568171787
test_near,morning_peak,46,239,0.7782426778242678,0.698744769874477,1747.9419108753923,1378.8243535891736
test_near,midday,10,354,0.6949152542372882,0.692090395480226,1738.4091741701977,1779.885564254502
test_near,midday,12,262,0.6030534351145038,0.7061068702290076,1743.6603426168892,2680.6524891161735
test_near,midday,46,424,0.589622641509434,0.7240566037735849,1744.079358370799,2996.249913629496
test_near,evening_peak,10,133,0.631578947368421,0.5714285714285714,1751.311993362312,1462.004981937265
test_near,evening_peak,12,108,0.6944444444444444,0.5555555555555556,1728.996627242477,1133.206814236111
test_near,evening_peak,46,168,0.5773809523809523,0.6488095238095238,1731.3185860770088,1943.7587367466517
test_near,evening,10,116,0.6810344827586207,0.4827586206896552,1767.9274776064117,1135.7354673188308
test_near,evening,12,77,0.7792207792207793,0.6363636363636364,1778.0131645698052,1113.9050071022727
test_near,evening,46,158,0.7278481012658228,0.5506329113924051,1766.987703347508,1314.7410873219937
test_mid,early_morning,10,46,0.9347826086956522,0.7391304347826086,2131.413319463315,1105.8177914826767
test_mid,early_morning,12,31,0.8387096774193549,0.7096774193548387,2124.6708196824598,2049.3219033518144
test_mid,early_morning,46,63,0.873015873015873,0.6190476190476191,2131.1608537946427,1144.1905885726687
test_mid,morning_peak,10,154,0.7532467532467533,0.6558441558441559,2126.555556260146,1806.6980709719967
test_mid,morning_peak,12,113,0.6902654867256637,0.7522123893805309,2126.9119840638828,2855.1299994814713
test_mid,morning_peak,46,163,0.754601226993865,0.6871165644171779,2127.1031052291028,1689.9537271136887
test_mid,midday,10,242,0.6900826446280992,0.6818181818181818,2136.1414381295194,2076.379533751937
test_mid,midday,12,177,0.6610169491525424,0.7344632768361582,2132.8482521186443,3047.0851264565677
test_mid,midday,46,272,0.6139705882352942,0.7242647058823529,2129.465192009421,3096.6234597598805
test_mid,evening_peak,10,100,0.73,0.75,2142.24494140625,2314.0963427734373
test_mid,evening_peak,12,81,0.6790123456790124,0.6419753086419753,2133.1681073977625,1658.5867874710648
test_mid,evening_peak,46,128,0.6796875,0.7421875,2130.8834533691406,2468.4288902282715
test_mid,evening,10,96,0.7291666666666666,0.5729166666666666,2121.7112986246743,1304.8996327718098
test_mid,evening,12,52,0.7884615384615384,0.6538461538461539,2127.7833815354566,1159.1909836989182
test_mid,evening,46,114,0.8070175438596491,0.631578947368421,2127.022281044408,1350.9470429002192
test_far,early_morning,10,103,0.8252427184466019,0.7281553398058253,2404.592967801881,1320.6227979937803
test_far,early_morning,12,105,0.8761904761904762,0.8095238095238095,2415.142154947917,2099.8273902529763
test_far,early_morning,46,167,0.9461077844311377,0.6826347305389222,2415.019431839446,1364.7929351258422
test_far,morning_peak,10,312,0.8814102564102564,0.8269230769230769,2409.70461331881,2062.029553535657
test_far,morning_peak,12,312,0.7467948717948718,0.8205128205128205,2423.2040060972554,3222.869362855569
test_far,morning_peak,46,432,0.8912037037037037,0.8356481481481481,2420.174815990307,1968.4983791775173
test_far,midday,10,559,0.7477638640429338,0.7513416815742398,2408.4825590130254,2442.204578488372
test_far,midday,12,527,0.6774193548387096,0.7590132827324478,2418.4569497153702,3440.279597070683
test_far,midday,46,789,0.6362484157160964,0.7401774397972116,2419.2326712759427,3645.522461556361
test_far,evening_peak,10,226,0.7964601769911505,0.8097345132743363,2403.73788587182,2477.2079624412336
test_far,evening_peak,12,235,0.902127659574468,0.7872340425531915,2422.5294298537233,1705.6410031582448
test_far,evening_peak,46,339,0.8082595870206489,0.8289085545722714,2419.2010984167587,2570.0102827134033
test_far,evening,10,203,0.8916256157635468,0.729064039408867,2399.715726504772,1448.8074031134545
test_far,evening,12,147,0.9319727891156463,0.7346938775510204,2414.4495343059098,1349.0406303146258
test_far,evening,46,279,0.9139784946236559,0.7240143369175627,2423.978081597222,1480.4170630670362
